,Revenues_$M,Profits_$M,Assets_$M,Total_Stockholder_Equity_$M,Profit_as_%_of_Revenues,Profits_as_%_of_Assets,Profits_as_%_of_Stockholder_Equity,company,year
199,"$53,572.10 ","$2,724.10 ","$194,584.50 ","$21,786.00 ",5.10%,1.40%,12.50%,China Pacific Insurance (Group),2019
200,"$53,176.00 ","$2,762.80 ","$69,469.30 ","$35,007.80 ",5.20%,4%,7.90%,Repsol,2019
201,"$53,166.00 ","$12,611.00 ","$145,563.00 ","$78,614.00 ",23.70%,8.70%,16%,Novartis,2019
202,"$52,720.90 ","$1,719.60 ","$150,974.50 ","$10,210.80 ",3.30%,1.10%,16.80%,Greenland Holding Group,2019
203,"$52,610.60 ",$69.40 ,"$84,608.20 ","$5,957.30 ",0.10%,0.10%,1.20%,China National Building Material Group,2019
204,"$52,528.00 ","$10,459.00 ","$931,796.00 ","$90,185.00 ",19.90%,1.10%,11.60%,Goldman Sachs Group,2019
205,"$52,404.70 ","$3,419.30 ","$46,229.10 ","$20,403.00 ",6.50%,7.40%,16.80%,Continental,2019
206,"$52,345.20 ","$3,520.40 ","$86,133.10 ","$21,928.50 ",6.70%,4.10%,16.10%,Vinci,2019
207,"$52,272.00 ",($208.90),"$45,172.50 ",$280 ,-0.40%,-0.50%,-74.60%,Finatis,2019
208,"$52,004.10 ",$623.10 ,"$66,896.40 ","$15,356.20 ",1.20%,0.90%,4.10%,Deutsche Bahn,2019
