,Revenues_$M,Profits_$M,Assets_$M,Total_Stockholder_Equity_$M,Profit_as_%_of_Revenues,Profits_as_%_of_Assets,Profits_as_%_of_Stockholder_Equity,company
184,"$55,757.40","$1,127.20","$39,731.50","$12,775.20",2%,2.8%,8.8%,LG Electronics
185,"$55,720.20","$2,265.30","$72,734.50","$29,193.00",4.1%,3.1%,7.8%,Nippon Steel Corporation
186,"$55,262.60","$3,037.80","$88,320.80","$16,276.30",5.5%,3.4%,18.7%,Christian Dior
187,"$55,063.50","$12,179.00","$982,526.00","$78,669.00",22.1%,1.2%,15.5%,China Merchants Bank
188,"$55,037.20",$885.5,"$42,549.70","$6,205.30",1.6%,2.1%,14.3%,Guangzhou Automobile Industry Group
189,"$54,722.00","$6,147.00","$78,509.00","$14,039.00",11.2%,7.8%,43.8%,Caterpillar
190,"$54,662.50","$6,814.80","$400,690.80","$35,295.80",12.5%,1.7%,19.3%,Itaú Unibanco Holding
191,"$54,619.00","$4,368.00","$232,103.00","$64,486.00",8%,1.9%,6.8%,Anheuser-Busch InBev
192,"$54,567.90","$-1,194.90","$166,038.40","$62,511.40",-2.2%,-0.7%,-1.9%,Korea Electric Power
193,"$54,436.00","$1,694.00","$88,246.00","$20,559.00",3.1%,1.9%,8.2%,Energy Transfer
194,"$53,985.30",$927.4,"$27,282.40","$16,808.40",1.7%,3.4%,5.5%,Wesfarmers
195,"$53,977.60","$2,733.00","$72,580.00","$9,953.20",5.1%,3.8%,27.5%,América Móvil
196,"$53,762.00","$5,046.00","$44,876.00","$1,394.00",9.4%,11.2%,362%,Lockheed Martin
197,"$53,647.00","$11,153.00","$159,422.00","$63,407.00",20.8%,7%,17.6%,Pfizer
198,"$53,572.10","$2,724.10","$194,584.50","$21,786.00",5.1%,1.4%,12.5%,China Pacific Insurance (Group)
199,"$53,176.00","$2,762.80","$69,469.30","$35,007.80",5.2%,4%,7.9%,Repsol
200,"$53,166.00","$12,611.00","$145,563.00","$78,614.00",23.7%,8.7%,16%,Novartis
